model_name,seq_len,press_type,n_gen,prefill_ms_mean,prefill_ms_std,ttft_ms_mean,ttft_ms_std,decode_ms_mean,decode_ms_std,total_ms_mean,total_ms_std
Qwen,60,uncompressed,128,445.6798136,4.451305137981804,506.6015042,9.153943366685903,61.8927767390625,5.602388054289253,8367.9552362,712.9186063488114
Qwen,80,uncompressed,128,447.66495879999997,9.292247324231473,506.4792992,9.352411129944425,60.2900539421875,0.1432940447278652,8164.7918634,25.355777848756524
Qwen,100,uncompressed,128,557.91375,9.698092866935106,634.7273368,20.32897034802231,60.7623583640625,0.2325538386290914,8335.4956206,28.377350261270237
Qwen,120,uncompressed,128,570.1450166,0.9466353385756735,632.8705252,1.1698343261080482,60.833520496875,0.3245235428397863,8356.835640199999,41.93865338305543
Qwen,160,uncompressed,128,710.7995566,7.967935044985946,774.5592038,8.282410813796952,68.8272733578125,13.322731823398442,9520.6905464,1703.2789959904894
Qwen,200,uncompressed,128,830.5817786,7.372965064530189,899.356948,12.9163956269784,62.3315964484375,0.19549827454061247,8809.026124,22.00672655119706
Qwen,256,uncompressed,128,1029.0963578,0.885796598044546,1099.7910232,9.806829774226083,63.3417352078125,0.3083176255947948,9136.8384644,39.37660105396232
Qwen,320,uncompressed,128,1261.9029242,0.6708983815635855,1336.1930816,12.419085574627012,64.497839634375,0.3887380976009389,9517.6263974,50.282039844203965
Qwen,512,uncompressed,128,2020.7149749999999,11.429504633107527,2097.2265858,12.264853419057246,67.4675978828125,0.19804369741408448,10656.567504,20.814113609100417
TinyLlama,60,uncompressed,128,1063.3871046000002,7.96795700971007,1167.2575242,6.599799158594293,106.95481864375,14.515645786607541,14753.603891,1857.0209085655908
TinyLlama,80,uncompressed,128,1006.0706484,6.550176980530649,1112.2645968,17.477812735815736,106.432015034375,11.173216643031353,14629.3685728,1427.9211036063227
TinyLlama,100,uncompressed,128,1240.2751052,11.870441906165754,1351.321823,19.87016583691758,102.4177659046875,0.2959372634272742,14349.749141,44.82864718882366
TinyLlama,120,uncompressed,128,1295.9329822,2.674007592781039,1397.2471532,2.742530419225766,102.5989697984375,0.5174710265977758,14428.6011164,67.67059332813267
TinyLlama,160,uncompressed,128,1529.5379992,2.939673146497035,1632.3223464,3.4446744806614484,103.218716359375,0.307989343769199,14741.533693200001,38.70468819176629
TinyLlama,200,uncompressed,128,1820.6005126,4.137950853912966,1925.2243652,5.038364286259541,104.253951546875,0.24485774024951168,15165.1063106,29.575761143879365
TinyLlama,256,uncompressed,128,2199.240164,14.039291860837091,2303.227806,14.163236894924616,106.6294123875,0.13947352132572,15847.8049496,27.243738820595492
TinyLlama,320,uncompressed,128,2668.4167956,5.682184064063304,2775.9032696,5.45609708618059,110.68356361406249,0.3048232613717222,16835.9129382,33.42682318000386
TinyLlama,512,uncompressed,128,4328.7491298,5.070842318799301,4449.5946876,5.098137048777462,125.70382851875,0.9920166566529088,20418.8391802,127.06033526202553
