build_commit,build_number,cpu_info,gpu_info,backends,model_filename,model_type,model_size,model_n_params,n_batch,n_ubatch,n_threads,cpu_mask,cpu_strict,poll,type_k,type_v,n_gpu_layers,n_cpu_moe,split_mode,main_gpu,no_kv_offload,flash_attn,devices,tensor_split,tensor_buft_overrides,use_mmap,use_direct_io,embeddings,no_op_offload,no_host,fit_target,fit_min_ctx,n_prompt,n_gen,n_depth,test_time,avg_ns,stddev_ns,avg_ts,stddev_ts
"ef93e98d0","9119","Intel(R) Core(TM) i7-7820X CPU @ 3.60GHz","","CPU","/home/udtensorlab7/a1264472/work/qwen2.5-0.5b-instruct-fp16.gguf","qwen2 1B F16","1260477952","630167424","2048","512","16","0x0","0","50","f16","f16","0","0","layer","0","0","1","auto","0.00","none","1","0","0","0","0","0","0","0","1","160","2026-05-14T05:11:10Z","35736620","452522","27.986063","0.351722"
"ef93e98d0","9119","Intel(R) Core(TM) i7-7820X CPU @ 3.60GHz","","CPU","/home/udtensorlab7/a1264472/work/qwen2.5-0.5b-instruct-fp16.gguf","qwen2 1B F16","1260477952","630167424","2048","512","16","0x0","0","50","f16","f16","0","0","layer","0","0","1","auto","0.00","none","1","0","0","0","0","0","0","0","1","200","2026-05-14T05:11:10Z","35750472","574560","27.977371","0.444319"
"ef93e98d0","9119","Intel(R) Core(TM) i7-7820X CPU @ 3.60GHz","","CPU","/home/udtensorlab7/a1264472/work/qwen2.5-0.5b-instruct-fp16.gguf","qwen2 1B F16","1260477952","630167424","2048","512","16","0x0","0","50","f16","f16","0","0","layer","0","0","1","auto","0.00","none","1","0","0","0","0","0","0","0","1","256","2026-05-14T05:11:11Z","35378124","786106","28.276918","0.611175"
"ef93e98d0","9119","Intel(R) Core(TM) i7-7820X CPU @ 3.60GHz","","CPU","/home/udtensorlab7/a1264472/work/qwen2.5-0.5b-instruct-fp16.gguf","qwen2 1B F16","1260477952","630167424","2048","512","16","0x0","0","50","f16","f16","0","0","layer","0","0","1","auto","0.00","none","1","0","0","0","0","0","0","0","1","320","2026-05-14T05:11:11Z","36300848","297974","27.549048","0.225847"
"ef93e98d0","9119","Intel(R) Core(TM) i7-7820X CPU @ 3.60GHz","","CPU","/home/udtensorlab7/a1264472/work/qwen2.5-0.5b-instruct-fp16.gguf","qwen2 1B F16","1260477952","630167424","2048","512","16","0x0","0","50","f16","f16","0","0","layer","0","0","1","auto","0.00","none","1","0","0","0","0","0","0","0","1","512","2026-05-14T05:11:12Z","36416202","423026","27.463230","0.314936"
"ef93e98d0","9119","Intel(R) Core(TM) i7-7820X CPU @ 3.60GHz","","CPU","/home/udtensorlab7/a1264472/work/qwen2.5-0.5b-instruct-fp16.gguf","qwen2 1B F16","1260477952","630167424","2048","512","16","0x0","0","50","q8_0","q8_0","0","0","layer","0","0","1","auto","0.00","none","1","0","0","0","0","0","0","0","1","60","2026-05-14T05:19:19Z","35165354","374637","28.439695","0.306952"
"ef93e98d0","9119","Intel(R) Core(TM) i7-7820X CPU @ 3.60GHz","","CPU","/home/udtensorlab7/a1264472/work/qwen2.5-0.5b-instruct-fp16.gguf","qwen2 1B F16","1260477952","630167424","2048","512","16","0x0","0","50","q8_0","q8_0","0","0","layer","0","0","1","auto","0.00","none","1","0","0","0","0","0","0","0","1","80","2026-05-14T05:19:20Z","34740400","348356","28.787237","0.287597"
"ef93e98d0","9119","Intel(R) Core(TM) i7-7820X CPU @ 3.60GHz","","CPU","/home/udtensorlab7/a1264472/work/qwen2.5-0.5b-instruct-fp16.gguf","qwen2 1B F16","1260477952","630167424","2048","512","16","0x0","0","50","q8_0","q8_0","0","0","layer","0","0","1","auto","0.00","none","1","0","0","0","0","0","0","0","1","100","2026-05-14T05:19:20Z","38081982","7161865","26.866191","4.034923"
"ef93e98d0","9119","Intel(R) Core(TM) i7-7820X CPU @ 3.60GHz","","CPU","/home/udtensorlab7/a1264472/work/qwen2.5-0.5b-instruct-fp16.gguf","qwen2 1B F16","1260477952","630167424","2048","512","16","0x0","0","50","q8_0","q8_0","0","0","layer","0","0","1","auto","0.00","none","1","0","0","0","0","0","0","0","1","120","2026-05-14T05:19:20Z","35090835","264639","28.498755","0.213330"
"ef93e98d0","9119","Intel(R) Core(TM) i7-7820X CPU @ 3.60GHz","","CPU","/home/udtensorlab7/a1264472/work/qwen2.5-0.5b-instruct-fp16.gguf","qwen2 1B F16","1260477952","630167424","2048","512","16","0x0","0","50","q8_0","q8_0","0","0","layer","0","0","1","auto","0.00","none","1","0","0","0","0","0","0","0","1","160","2026-05-14T05:19:21Z","35310479","677421","28.328395","0.533746"
