build_commit,build_number,cpu_info,gpu_info,backends,model_filename,model_type,model_size,model_n_params,n_batch,n_ubatch,n_threads,cpu_mask,cpu_strict,poll,type_k,type_v,n_gpu_layers,n_cpu_moe,split_mode,main_gpu,no_kv_offload,flash_attn,devices,tensor_split,tensor_buft_overrides,use_mmap,use_direct_io,embeddings,no_op_offload,no_host,fit_target,fit_min_ctx,n_prompt,n_gen,n_depth,test_time,avg_ns,stddev_ns,avg_ts,stddev_ts
"ef93e98d0","9119","Intel(R) Core(TM) i7-7820X CPU @ 3.60GHz","","CPU","/home/udtensorlab7/a1264472/work/qwen2.5-0.5b-instruct-fp16.gguf","qwen2 1B F16","1260477952","630167424","2048","512","16","0x0","0","50","f16","f16","0","0","layer","0","0","1","auto","0.00","none","1","0","0","0","0","0","0","512","0","160","2026-05-14T05:14:47Z","703499960","25969546","728.558909","26.053345"
"ef93e98d0","9119","Intel(R) Core(TM) i7-7820X CPU @ 3.60GHz","","CPU","/home/udtensorlab7/a1264472/work/qwen2.5-0.5b-instruct-fp16.gguf","qwen2 1B F16","1260477952","630167424","2048","512","16","0x0","0","50","f16","f16","0","0","layer","0","0","1","auto","0.00","none","1","0","0","0","0","0","0","0","128","160","2026-05-14T05:14:52Z","4453316691","35795520","28.744092","0.228614"
"ef93e98d0","9119","Intel(R) Core(TM) i7-7820X CPU @ 3.60GHz","","CPU","/home/udtensorlab7/a1264472/work/qwen2.5-0.5b-instruct-fp16.gguf","qwen2 1B F16","1260477952","630167424","2048","512","16","0x0","0","50","f16","f16","0","0","layer","0","0","1","auto","0.00","none","1","0","0","0","0","0","0","512","128","160","2026-05-14T05:15:14Z","5240619491","5112243","122.123060","0.119094"
"ef93e98d0","9119","Intel(R) Core(TM) i7-7820X CPU @ 3.60GHz","","CPU","/home/udtensorlab7/a1264472/work/qwen2.5-0.5b-instruct-fp16.gguf","qwen2 1B F16","1260477952","630167424","2048","512","16","0x0","0","50","f16","f16","0","0","layer","0","0","1","auto","0.00","none","1","0","0","0","0","0","0","512","0","200","2026-05-14T05:15:41Z","690523706","638358","741.466724","0.685231"
"ef93e98d0","9119","Intel(R) Core(TM) i7-7820X CPU @ 3.60GHz","","CPU","/home/udtensorlab7/a1264472/work/qwen2.5-0.5b-instruct-fp16.gguf","qwen2 1B F16","1260477952","630167424","2048","512","16","0x0","0","50","f16","f16","0","0","layer","0","0","1","auto","0.00","none","1","0","0","0","0","0","0","0","128","200","2026-05-14T05:15:45Z","4471076399","19580712","28.628890","0.124807"
"ef93e98d0","9119","Intel(R) Core(TM) i7-7820X CPU @ 3.60GHz","","CPU","/home/udtensorlab7/a1264472/work/qwen2.5-0.5b-instruct-fp16.gguf","qwen2 1B F16","1260477952","630167424","2048","512","16","0x0","0","50","f16","f16","0","0","layer","0","0","1","auto","0.00","none","1","0","0","0","0","0","0","512","128","200","2026-05-14T05:16:08Z","5256974581","13997468","121.743716","0.323261"
"ef93e98d0","9119","Intel(R) Core(TM) i7-7820X CPU @ 3.60GHz","","CPU","/home/udtensorlab7/a1264472/work/qwen2.5-0.5b-instruct-fp16.gguf","qwen2 1B F16","1260477952","630167424","2048","512","16","0x0","0","50","f16","f16","0","0","layer","0","0","1","auto","0.00","none","1","0","0","0","0","0","0","512","0","256","2026-05-14T05:16:35Z","700899799","4822645","730.517022","4.985407"
"ef93e98d0","9119","Intel(R) Core(TM) i7-7820X CPU @ 3.60GHz","","CPU","/home/udtensorlab7/a1264472/work/qwen2.5-0.5b-instruct-fp16.gguf","qwen2 1B F16","1260477952","630167424","2048","512","16","0x0","0","50","f16","f16","0","0","layer","0","0","1","auto","0.00","none","1","0","0","0","0","0","0","0","128","256","2026-05-14T05:16:39Z","4479657578","10750167","28.573745","0.068736"
"ef93e98d0","9119","Intel(R) Core(TM) i7-7820X CPU @ 3.60GHz","","CPU","/home/udtensorlab7/a1264472/work/qwen2.5-0.5b-instruct-fp16.gguf","qwen2 1B F16","1260477952","630167424","2048","512","16","0x0","0","50","f16","f16","0","0","layer","0","0","1","auto","0.00","none","1","0","0","0","0","0","0","512","128","256","2026-05-14T05:17:02Z","5272812760","3776805","121.377392","0.086911"
"ef93e98d0","9119","Intel(R) Core(TM) i7-7820X CPU @ 3.60GHz","","CPU","/home/udtensorlab7/a1264472/work/qwen2.5-0.5b-instruct-fp16.gguf","qwen2 1B F16","1260477952","630167424","2048","512","16","0x0","0","50","f16","f16","0","0","layer","0","0","1","auto","0.00","none","1","0","0","0","0","0","0","512","0","320","2026-05-14T05:17:29Z","711381206","367882","719.726786","0.371170"
"ef93e98d0","9119","Intel(R) Core(TM) i7-7820X CPU @ 3.60GHz","","CPU","/home/udtensorlab7/a1264472/work/qwen2.5-0.5b-instruct-fp16.gguf","qwen2 1B F16","1260477952","630167424","2048","512","16","0x0","0","50","f16","f16","0","0","layer","0","0","1","auto","0.00","none","1","0","0","0","0","0","0","0","128","320","2026-05-14T05:17:33Z","4500578883","5713572","28.440822","0.036074"
"ef93e98d0","9119","Intel(R) Core(TM) i7-7820X CPU @ 3.60GHz","","CPU","/home/udtensorlab7/a1264472/work/qwen2.5-0.5b-instruct-fp16.gguf","qwen2 1B F16","1260477952","630167424","2048","512","16","0x0","0","50","f16","f16","0","0","layer","0","0","1","auto","0.00","none","1","0","0","0","0","0","0","512","128","320","2026-05-14T05:17:56Z","5324805239","28098709","120.194874","0.635992"
"ef93e98d0","9119","Intel(R) Core(TM) i7-7820X CPU @ 3.60GHz","","CPU","/home/udtensorlab7/a1264472/work/qwen2.5-0.5b-instruct-fp16.gguf","qwen2 1B F16","1260477952","630167424","2048","512","16","0x0","0","50","f16","f16","0","0","layer","0","0","1","auto","0.00","none","1","0","0","0","0","0","0","512","0","512","2026-05-14T05:18:23Z","737036826","5434775","694.703489","5.072669"
"ef93e98d0","9119","Intel(R) Core(TM) i7-7820X CPU @ 3.60GHz","","CPU","/home/udtensorlab7/a1264472/work/qwen2.5-0.5b-instruct-fp16.gguf","qwen2 1B F16","1260477952","630167424","2048","512","16","0x0","0","50","f16","f16","0","0","layer","0","0","1","auto","0.00","none","1","0","0","0","0","0","0","0","128","512","2026-05-14T05:18:28Z","4580485888","14551045","27.944859","0.088496"
"ef93e98d0","9119","Intel(R) Core(TM) i7-7820X CPU @ 3.60GHz","","CPU","/home/udtensorlab7/a1264472/work/qwen2.5-0.5b-instruct-fp16.gguf","qwen2 1B F16","1260477952","630167424","2048","512","16","0x0","0","50","f16","f16","0","0","layer","0","0","1","auto","0.00","none","1","0","0","0","0","0","0","512","128","512","2026-05-14T05:18:51Z","5372769688","17983999","119.120263","0.398938"
"ef93e98d0","9119","Intel(R) Core(TM) i7-7820X CPU @ 3.60GHz","","CPU","/home/udtensorlab7/a1264472/work/qwen2.5-0.5b-instruct-fp16.gguf","qwen2 1B F16","1260477952","630167424","2048","512","16","0x0","0","50","q8_0","q8_0","0","0","layer","0","0","1","auto","0.00","none","1","0","0","0","0","0","0","512","0","60","2026-05-14T05:19:25Z","895287447","7612563","571.916104","4.812767"
"ef93e98d0","9119","Intel(R) Core(TM) i7-7820X CPU @ 3.60GHz","","CPU","/home/udtensorlab7/a1264472/work/qwen2.5-0.5b-instruct-fp16.gguf","qwen2 1B F16","1260477952","630167424","2048","512","16","0x0","0","50","q8_0","q8_0","0","0","layer","0","0","1","auto","0.00","none","1","0","0","0","0","0","0","0","128","60","2026-05-14T05:19:30Z","4544111735","41568908","28.170202","0.256967"
"ef93e98d0","9119","Intel(R) Core(TM) i7-7820X CPU @ 3.60GHz","","CPU","/home/udtensorlab7/a1264472/work/qwen2.5-0.5b-instruct-fp16.gguf","qwen2 1B F16","1260477952","630167424","2048","512","16","0x0","0","50","q8_0","q8_0","0","0","layer","0","0","1","auto","0.00","none","1","0","0","0","0","0","0","512","128","60","2026-05-14T05:19:53Z","5657363368","133394446","113.175991","2.602484"
"ef93e98d0","9119","Intel(R) Core(TM) i7-7820X CPU @ 3.60GHz","","CPU","/home/udtensorlab7/a1264472/work/qwen2.5-0.5b-instruct-fp16.gguf","qwen2 1B F16","1260477952","630167424","2048","512","16","0x0","0","50","q8_0","q8_0","0","0","layer","0","0","1","auto","0.00","none","1","0","0","0","0","0","0","512","0","80","2026-05-14T05:20:22Z","946350259","28178244","541.396042","15.539670"
"ef93e98d0","9119","Intel(R) Core(TM) i7-7820X CPU @ 3.60GHz","","CPU","/home/udtensorlab7/a1264472/work/qwen2.5-0.5b-instruct-fp16.gguf","qwen2 1B F16","1260477952","630167424","2048","512","16","0x0","0","50","q8_0","q8_0","0","0","layer","0","0","1","auto","0.00","none","1","0","0","0","0","0","0","0","128","80","2026-05-14T05:20:28Z","4523052712","37985721","28.301061","0.236660"
"ef93e98d0","9119","Intel(R) Core(TM) i7-7820X CPU @ 3.60GHz","","CPU","/home/udtensorlab7/a1264472/work/qwen2.5-0.5b-instruct-fp16.gguf","qwen2 1B F16","1260477952","630167424","2048","512","16","0x0","0","50","q8_0","q8_0","0","0","layer","0","0","1","auto","0.00","none","1","0","0","0","0","0","0","512","128","80","2026-05-14T05:20:51Z","5569745678","21762392","114.907903","0.447889"
"ef93e98d0","9119","Intel(R) Core(TM) i7-7820X CPU @ 3.60GHz","","CPU","/home/udtensorlab7/a1264472/work/qwen2.5-0.5b-instruct-fp16.gguf","qwen2 1B F16","1260477952","630167424","2048","512","16","0x0","0","50","q8_0","q8_0","0","0","layer","0","0","1","auto","0.00","none","1","0","0","0","0","0","0","512","0","100","2026-05-14T05:21:19Z","949881852","18678984","539.177069","10.340169"
